,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Financial_Advice,Review_Financial_Plan,Tax_Saving_Schemes,Profile_Risk,Investment_Readiness
174,4,4,4,2,3,3,2,3
175,1,1,2,1,1,2,1,2
176,3,4,5,4,2,3,5,4
177,4,4,5,4,3,1,5,2
178,4,4,5,4,3,1,5,2
179,4,5,5,2,4,4,2,5
180,5,4,4,4,3,5,5,4
181,2,3,2,3,3,3,3,3
182,4,4,3,3,4,3,3,4
183,4,4,3,3,4,3,3,4
184,4,4,5,3,4,4,3,4
185,3,3,3,3,3,3,3,3
186,2,1,4,2,4,2,2,2
187,3,3,3,1,1,2,2,1
188,4,4,4,4,4,4,4,4
189,4,3,4,3,3,4,3,3
190,3,3,3,2,2,3,2,2
191,4,5,5,2,5,4,4,5
192,4,4,4,4,4,4,3,3
193,4,4,5,4,4,4,3,3
194,3,3,2,2,2,3,3,2
195,1,1,1,2,1,1,1,1
196,4,4,4,4,4,4,4,4
197,4,4,4,2,4,4,5,2
198,4,3,2,2,4,4,4,3
199,2,3,3,2,2,2,4,4
200,3,4,3,3,3,4,1,4
201,2,4,4,2,4,4,2,4
202,3,3,3,3,3,1,2,3
203,1,1,1,1,1,1,1,3
204,3,1,1,3,1,1,1,3
205,5,5,4,2,4,4,4,4
206,3,3,4,4,4,4,4,3
207,4,4,4,4,4,3,3,4
208,1,1,2,3,1,3,3,3
209,3,4,4,3,4,4,3,2
210,4,5,4,4,5,4,4,4
211,4,4,3,4,3,4,4,3
212,1,1,1,1,2,2,2,1
213,2,3,5,2,2,2,2,4
214,4,4,5,3,4,4,3,4
215,4,4,4,4,4,4,4,4
216,4,4,4,3,4,4,3,4
217,2,4,2,2,2,4,2,2
218,4,4,4,3,4,4,4,3
219,2,3,2,1,2,1,3,1
220,4,3,2,2,4,4,4,2
221,5,4,5,2,2,2,3,3
222,4,4,4,2,3,3,3,3
223,4,4,4,2,2,4,4,2
224,1,2,3,1,2,1,3,3
225,4,4,4,2,4,2,3,3
226,4,4,5,3,3,3,4,4
227,3,1,1,1,1,3,2,1
228,4,4,4,4,4,4,4,4
229,4,4,3,3,4,4,3,4
230,4,4,4,4,4,4,4,4
231,5,4,5,2,4,5,5,5
232,3,2,3,3,1,2,3,3
233,4,3,4,2,2,3,2,1
234,4,4,2,2,3,4,3,3
235,4,4,5,4,5,3,5,5
236,4,4,3,4,3,2,4,4
237,1,1,3,3,1,3,2,2
238,5,5,5,5,5,5,5,5
239,5,4,5,4,4,4,4,5
240,3,4,2,2,3,2,3,3
241,4,5,4,3,4,3,4,5
242,4,5,4,3,4,3,4,5
243,4,4,4,2,4,4,4,4
244,4,3,5,4,4,5,4,2
245,4,4,4,3,3,5,3,3
246,2,2,4,4,4,4,4,3
247,2,2,4,4,4,4,4,3
248,2,2,2,2,2,2,1,1
249,4,4,4,3,5,5,5,3
250,5,5,4,3,5,5,5,5
251,4,4,4,4,4,3,3,3
252,4,5,5,5,4,4,5,5
253,4,3,4,4,4,3,4,3
